bid,delayTime,epic,expiry,high,instrumentName,instrumentType,lotSize,low,marketStatus,netChange,offer,otcTradeable,percentageChange,scalingFactor,streamingPricesAvailable,updateTime,updateTimeUTC
342.2,0,CO.D.LSU.FWS5.IP,MAR-20,343.0,London Sugar No. 5 ($50),COMMODITIES,50,342.2,EDITS_ONLY,0.0,343.0,True,0.0,1,True,61345000,18:02:25
1276.8,0,CC.D.SB.UNC.IP,-,1292.0,NY Sugar No. 11 ($11.20),COMMODITIES,11,1267.4,EDITS_ONLY,-4.3,1279.8,True,-0.34,1,True,61198000,17:59:58
530.4,0,CC.D.W.UNC.IP,-,532.4,Chicago Wheat ($50),COMMODITIES,50,525.5,EDITS_ONLY,-1.4,531.0,True,-0.26,1,True,65876000,19:17:56
530.3,0,CO.D.W.FWS4.IP,DEC-19,530.3,Chicago Wheat ($50),COMMODITIES,50,529.8,EDITS_ONLY,0.5,530.3,True,0.09,1,True,77405000,22:30:05
531.0,0,CO.D.W.FWS3.IP,MAR-20,531.0,Chicago Wheat ($50),COMMODITIES,50,530.8,EDITS_ONLY,0.2,531.0,True,0.04,1,True,77400000,22:30:00
150.75,0,CO.D.LWB.FWS2.IP,MAY-20,151.25,London Wheat (Â£100),COMMODITIES,100,150.75,EDITS_ONLY,0.0,151.25,True,0.0,1,True,59270000,17:27:50
6232.0,0,EN.D.LCO.FGT5.IP,MAR-20,6260.0,Oil - Brent Crude ($1),COMMODITIES,1,6221.0,EDITS_ONLY,-16.0,6238.0,True,-0.26,1,True,79200000,23:00:00
6405.0,0,EN.D.LCO.FWM4.IP,JAN-20,6435.0,Oil - Brent Crude ($5),COMMODITIES,5,6395.0,EDITS_ONLY,-17.5,6411.0,True,-0.27,1,True,79200000,23:00:00
6300.0,0,EN.D.LCO.FWM3.IP,FEB-20,6329.0,Oil - Brent Crude ($5),COMMODITIES,5,6291.0,EDITS_ONLY,-17.5,6306.0,True,-0.28,1,True,79200000,23:00:00
6232.0,0,EN.D.LCO.FWM5.IP,MAR-20,6260.0,Oil - Brent Crude ($5),COMMODITIES,5,6221.0,EDITS_ONLY,-16.0,6238.0,True,-0.26,1,True,79200000,23:00:00
5817.5,0,EN.D.CL.FWM2.IP,JAN-20,5849.0,Oil - US Crude ($5),COMMODITIES,5,5810.5,TRADEABLE,-16.0,5823.5,True,-0.27,1,True,-1559000,00:34:01
2435.0,0,CO.D.CFI.FWM1.IP,DEC-19,2441.0,Carbon Emissions (€5),COMMODITIES,5,2435.0,EDITS_ONLY,0.0,2441.0,True,0.0,1,True,57595000,16:59:55
2450.0,0,CO.D.CFI.FWM3.IP,DEC-20,2456.0,Carbon Emissions (€5),COMMODITIES,10,2450.0,EDITS_ONLY,0.0,2456.0,True,0.0,1,True,82255000,23:50:55
19532.0,0,EN.D.HO.FWM1.IP,DEC-19,19637.0,Heating Oil ($2.10),COMMODITIES,2,19513.0,TRADEABLE,-48.0,19562.0,True,-0.24,1,True,-1592000,00:33:28
19508.0,0,EN.D.HO.FWM2.IP,JAN-20,19610.0,Heating Oil ($2.10),COMMODITIES,2,19490.0,TRADEABLE,-45.0,19538.0,True,-0.23,1,True,-1592000,00:33:28
589.0,0,EN.D.LGO.FWM1.IP,DEC-19,592.3,London Gas Oil ($50),COMMODITIES,50,587.3,EDITS_ONLY,-1.4,590.0,True,-0.24,1,True,82223000,23:50:23
2520.0,0,EN.D.NG.FWM2.IP,JAN-20,2549.0,Natural Gas ($2.50),COMMODITIES,2,2516.0,TRADEABLE,-1.0,2540.0,True,-0.04,1,True,-1587000,00:33:33
16937.0,0,EN.D.RB.FWM2.IP,DEC-19,17099.0,No Lead Gasoline ($2.10),COMMODITIES,2,16748.0,TRADEABLE,-80.0,16967.0,True,-0.47,1,True,-1553000,00:34:07
16878.0,0,EN.D.RB.FWM1.IP,JAN-20,17021.0,No Lead Gasoline ($2.10),COMMODITIES,2,16715.0,TRADEABLE,-67.0,16908.0,True,-0.4,1,True,-1553000,00:34:07
26737.5,0,MT.D.HG.FWM1.IP,DEC-19,26812.5,High Grade Copper ($0.50),COMMODITIES,0,26717.5,TRADEABLE,-15.0,26777.5,True,-0.06,1,True,-1550000,00:34:10
26942.5,0,MT.D.HG.FWM2.IP,MAR-20,27017.5,High Grade Copper ($0.50),COMMODITIES,0,26912.5,TRADEABLE,-5.0,26982.5,True,-0.02,1,True,-1550000,00:34:10
1780.9,0,MT.D.PA.FWM2.IP,DEC-19,1787.6,Palladium ($20),COMMODITIES,20,1774.95,TRADEABLE,-0.7,1782.9,True,-0.04,1,True,-1564000,00:33:56
1780.35,0,MT.D.PA.FWM1.IP,MAR-20,1788.25,Palladium ($20),COMMODITIES,20,1774.35,TRADEABLE,-0.6,1782.35,True,-0.03,1,True,-1564000,00:33:56
908.3,0,MT.D.PL.FWM2.IP,JAN-20,913.9,Platinum ($10),COMMODITIES,10,908.1,TRADEABLE,-2.1,910.3,True,-0.23,1,True,-1558000,00:34:02
1467.5,0,MT.D.GC.FWM4.IP,FEB-20,1470.3,Gold ($33.20),COMMODITIES,33,1466.7,TRADEABLE,0.6,1468.1,True,0.04,1,True,-1577000,00:33:43
1703.8,0,MT.D.SI.FWM2.IP,DEC-19,1710.0,Silver ($10),COMMODITIES,10,1701.8,TRADEABLE,1.0,1706.8,True,0.06,1,True,-1549000,00:34:11
1717.8,0,MT.D.SI.FWM1.IP,MAR-20,1723.8,Silver ($10),COMMODITIES,10,1716.3,TRADEABLE,1.0,1720.8,True,0.06,1,True,-1601000,00:33:19
2054.0,0,CO.D.LCC.FWM6.IP,DEC-19,2058.0,London Cocoa (Â£2),COMMODITIES,2,2054.0,EDITS_ONLY,0.0,2058.0,True,0.0,1,True,81023000,23:30:23
1365.0,0,CO.D.LKD.FWM3.IP,JAN-20,1369.0,Coffee Robusta ($2),COMMODITIES,2,1365.0,EDITS_ONLY,0.0,1369.0,True,0.0,1,True,59812000,17:36:52
367.5,0,CO.D.C.FWM2.IP,DEC-19,367.5,Corn ($25),COMMODITIES,25,367.0,EDITS_ONLY,0.5,367.5,True,0.14,1,True,77405000,22:30:05
378.3,0,CO.D.C.FWM1.IP,MAR-20,378.3,Corn ($25),COMMODITIES,25,377.8,EDITS_ONLY,0.5,378.3,True,0.13,1,True,77405000,22:30:05
6083.0,0,CO.D.LH.FWM1.IP,DEC-19,6091.0,Lean Hogs ($2),COMMODITIES,2,6071.0,EDITS_ONLY,5.0,6083.0,True,0.08,1,True,65100000,19:05:00
12040.0,0,CO.D.LC.FWM1.IP,DEC-19,12086.3,Live Cattle ($2),COMMODITIES,2,12035.0,EDITS_ONLY,-5.0,12040.0,True,-0.04,1,True,76522000,22:15:22
316.0,0,CO.D.O.FWM2.IP,DEC-19,318.5,Oats ($25),COMMODITIES,25,316.0,EDITS_ONLY,-2.5,316.0,True,-0.78,1,True,77405000,22:30:05
322.3,0,CO.D.O.FWM1.IP,MAR-20,322.5,Oats ($25),COMMODITIES,25,322.3,EDITS_ONLY,-0.2,322.3,True,-0.06,1,True,77400000,22:30:00
41290.0,0,CO.D.LB.FWM1.IP,JAN-20,41400.0,Lumber ($0.55),COMMODITIES,0,40520.0,EDITS_ONLY,665.0,41290.0,True,1.64,1,True,76522000,22:15:22
12240.0,0,CO.D.RR.FWM1.IP,JAN-20,12260.0,Rough Rice ($1),COMMODITIES,1,12240.0,EDITS_ONLY,-20.0,12240.0,True,-0.16,1,True,77405000,22:30:05
29470.0,0,CO.D.SM.FWM2.IP,DEC-19,29470.0,Soyabean Meal ($0.50),COMMODITIES,0,29470.0,EDITS_ONLY,0.0,29470.0,True,0.0,1,True,65999000,19:19:59
29710.0,0,CO.D.SM.FWM1.IP,JAN-20,29710.0,Soyabean Meal ($0.50),COMMODITIES,0,29710.0,EDITS_ONLY,0.0,29710.0,True,0.0,1,True,65999000,19:19:59
3022.0,0,CO.D.BO.FWM4.IP,DEC-19,3022.0,Soyabean Oil ($3),COMMODITIES,3,3019.0,EDITS_ONLY,3.0,3022.0,True,0.1,1,True,77400000,22:30:00
3040.0,0,CO.D.BO.FWM2.IP,JAN-20,3040.0,Soyabean Oil ($3),COMMODITIES,3,3036.0,EDITS_ONLY,4.0,3040.0,True,0.13,1,True,77400000,22:30:00
884.3,0,CO.D.S.FWM2.IP,JAN-20,884.5,Soyabeans ($25),COMMODITIES,25,884.3,EDITS_ONLY,-0.2,884.3,True,-0.02,1,True,77400000,22:30:00
342.2,0,CO.D.LSU.FWM5.IP,MAR-20,343.0,London Sugar No. 5 ($10),COMMODITIES,10,342.2,EDITS_ONLY,0.0,343.0,True,0.0,1,True,61345000,18:02:25
530.3,0,CO.D.W.FWM4.IP,DEC-19,530.3,Chicago Wheat ($25),COMMODITIES,25,529.8,EDITS_ONLY,0.5,530.3,True,0.09,1,True,77405000,22:30:05
531.0,0,CO.D.W.FWM2.IP,MAR-20,531.0,Chicago Wheat ($25),COMMODITIES,25,530.8,EDITS_ONLY,0.2,531.0,True,0.04,1,True,77400000,22:30:00
150.75,0,CO.D.LWB.FWM2.IP,MAY-20,151.25,London Wheat (Â£20),COMMODITIES,20,150.75,EDITS_ONLY,0.0,151.25,True,0.0,1,True,59270000,17:27:50
